asset,rows_total,rows_train,rows_test,ema1_period,ema2_period,ema3_period,train_sharpe,train_total_return,train_annualized_return,train_max_drawdown,train_trades,view_q
usatechidxusd,849,509,340,10,80,145,1.0436375157713011,1.0857746015866758,0.43901584674060823,-0.12174743761715186,6,0.43901584674060823
mckususd,1158,694,464,4,131,100,1.0358285006413184,0.9817755245444793,0.2819295411845002,-0.15399293930367225,7,0.2819295411845002
gbpaud,447,268,179,4,188,178,1.0354325330484728,0.017847871085200584,0.016773441241391795,-0.008731519486442206,4,0.016773441241391795
axtaususd,437,262,175,13,134,112,1.034408949645664,0.5001849684667563,0.47714022638388465,-0.19000024142343194,3,0.47714022638388465
mchpususd,916,549,367,7,149,148,1.0211983755359484,1.7415892664857116,0.5887306639266037,-0.2962893318290083,5,0.5887306639266034
amtususd,417,250,167,7,86,136,1.0211724434081175,0.6185815170640758,0.6248289686770305,-0.1627229238072546,6,0.6248289686770305
eqhususd,460,276,184,4,149,145,1.0208160133750328,0.3652244837243661,0.328761978890052,-0.16343629018683714,3,0.328761978890052
rtxususd,698,418,280,16,194,178,1.0184876556013784,0.4566549708322132,0.25453558237860885,-0.14888091222350397,4,0.25453558237860907
abcususd,950,570,380,16,140,154,1.0111438686557102,0.9031062341591776,0.32908292101317294,-0.17139970410998448,5,0.32908292101317294
fltususd,620,372,248,7,182,175,1.0063644828138416,0.41703272729512464,0.2663322319309682,-0.20433683233801697,3,0.2663322319309682
efxususd,1568,940,628,10,191,190,1.0052778437427705,1.0760572543652462,0.21631801339252132,-0.1891040021591546,9,0.21631801339252132
nzymbdkdkk,443,265,178,37,179,112,1.0008794672647607,0.7685788468773902,0.7197955186587421,-0.19161479833883557,3,0.7197955186587421
agncususd,440,264,176,25,104,100,0.9994347500558001,0.19379736532378478,0.18422375856938422,-0.17712177121771214,3,0.18422375856938422
tfxususd,602,361,241,7,107,103,0.9907833131160682,0.3000702588808517,0.20103534396488643,-0.14175684522663345,3,0.20103534396488643
lgengbgbx,484,290,194,13,128,100,0.9894562646371474,0.47708973284543466,0.40348810621540765,-0.23379497378412636,3,0.4034881062154074
usdnok,657,394,263,28,131,103,0.9747526709727857,0.13777244266066968,0.08605720043687048,-0.05321310599855933,4,0.08605720043687048
gisususd,1032,619,413,4,110,163,0.9703583901627253,0.6946054644859798,0.23952621276160557,-0.13599440202014015,6,0.23952621276160557
fdsususd,705,423,282,28,143,121,0.9666374086574613,0.17974371708061976,0.1034867541275819,-0.08674523160762948,4,0.1034867541275819
ssegbgbx,947,568,379,13,197,190,0.9642540990363507,0.3339368020002167,0.13636475075118182,-0.13218738092720278,5,0.13636475075118182
hpeususd,501,300,201,7,188,139,0.9588964429906364,0.2784995909184327,0.22921683177241925,-0.16834907196352986,4,0.22921683177241925
tscogbgbx,1795,1077,718,31,122,100,0.9478990445493118,0.6795976976989941,0.12900085146085538,-0.16781877270876808,9,0.12900085146085538
bundtreur,740,444,296,4,143,103,0.947784666480724,0.11574293250922651,0.06413288839411768,-0.05033575794142917,4,0.06413288839411768
dsmnleur,788,472,316,16,158,145,0.9459947076244186,1.0522821335341273,0.46792152700737044,-0.11986432378669272,4,0.46792152700737044
lyvususd,449,269,180,7,146,139,0.9424639818733987,0.4455153430451022,0.41224402715508424,-0.20144368997369505,5,0.41224402715508424
pclnususd,457,274,183,16,104,103,0.941262574069556,0.37092087068305224,0.33663058175449123,-0.26400179559748904,4,0.33663058175449123
acafreur,745,447,298,4,143,112,0.9371378979540798,0.8419149006654396,0.4110679917544666,-0.4012981738747477,7,0.4110679917544664
hwmususd,455,273,182,4,86,100,0.9336579839772452,0.25814099207071806,0.23611201262464432,-0.15037537786825064,3,0.23611201262464432
ftvususd,552,331,221,16,197,193,0.933466062638925,0.21624768288624563,0.16072612626438953,-0.1768419833178869,3,0.16072612626438953
usa30idxusd,422,253,169,4,80,142,0.9288202697479475,0.24322621743842365,0.24215686527767866,-0.13707928394191107,3,0.24215686527767866
exrususd,474,284,190,4,152,148,0.9254542405578208,0.20173613969751614,0.17710863270861532,-0.1351401066895578,4,0.17710863270861532
wtbgbgbx,1162,697,465,16,116,115,0.924244961782847,0.8193146835919907,0.24156523522171525,-0.17215224630852077,7,0.24156523522171525
algnususd,607,364,243,7,149,100,0.9191543534965793,0.5024077316241793,0.3255361023253034,-0.1981115745191439,4,0.3255361023253034
mususd,1320,792,528,4,80,112,0.9170544242943511,1.953784650402795,0.41145160250992596,-0.3257714440207546,7,0.41145160250992596
engifreur,985,591,394,28,113,109,0.9074351798943072,0.5126602755395702,0.1930015388209947,-0.16020968138258632,6,0.1930015388209947
gbpcad,415,249,166,28,161,127,0.9028547866043737,0.06427071478900714,0.06506972781461373,-0.03620543267413255,3,0.06506972781461373
avbususd,1087,652,435,4,197,196,0.9024258308360773,0.4297416837728465,0.1481735304165277,-0.1979301813354249,6,0.1481735304165277
mdlzususd,769,461,308,4,95,169,0.9010938212093922,0.3217498958164522,0.16472868588109768,-0.18892883620662865,4,0.16472868588109768
ilmnususd,750,450,300,4,164,160,0.8998033655441227,0.995173768793161,0.4722759124608096,-0.20023894370403936,4,0.4722759124608096
keysususd,482,289,193,10,101,100,0.8928990459571234,0.3230733932804999,0.2764912039429812,-0.1588677959803043,4,0.2764912039429812
dhiususd,516,309,207,7,185,193,0.8912745530988109,0.47756961377751983,0.37490317730019873,-0.26308571667853115,3,0.37490317730019895
middususd,934,560,374,16,119,112,0.8862050224428063,0.5302673999943597,0.21100321708189473,-0.16968156519564723,5,0.21100321708189473
koususd,1594,956,638,4,152,124,0.8813544317619347,0.7292542891254883,0.15531176993447526,-0.13841751513941558,13,0.15531176993447526
bbyususd,566,339,227,16,170,160,0.8769501140596263,0.30180049182681934,0.21660073026752547,-0.3199908654739523,4,0.21660073026752547
cbususd,459,275,184,7,149,130,0.8728896332269364,0.1595966335823784,0.14532448899566153,-0.11693549593523686,3,0.14532448899566153
marususd,1341,804,537,16,179,175,0.86942299932988,1.641445722410786,0.35587307785459465,-0.3364870636705689,7,0.35587307785459465
ghususd,559,335,224,4,140,100,0.8608978524274473,0.8275493574383923,0.5739397742990808,-0.4918086170626502,3,0.5739397742990808
azngbgbx,404,242,162,10,107,100,0.859669977681634,0.14924257644688144,0.15586751587014414,-0.05105790010534372,2,0.15586751587014414
mktxususd,714,428,286,31,104,100,0.8539334915091881,0.4125679405677709,0.22552805997184033,-0.19421045060021397,4,0.22552805997184033
aznususd,495,297,198,37,83,118,0.847943579635905,0.7003287032737686,0.5689303383695046,-0.14482622172393367,4,0.5689303383695046
hogususd,695,417,278,7,176,160,0.8429189882249992,0.448631480820628,0.2510352120619026,-0.24990310077519406,4,0.2510352120619026
usdzar,602,361,241,4,122,118,0.842507739146618,0.3466663730361519,0.2309243652033155,-0.1607548382738968,3,0.2309243652033155
mhgnonok,630,378,252,13,128,109,0.8406087407132954,0.40795175991440047,0.25619921208419516,-0.18930355964390116,4,0.25619921208419516
honususd,1546,927,619,4,116,115,0.8386441525883758,0.6921299146416013,0.1537148494057099,-0.15915464058545942,14,0.1537148494057099
dfsususd,498,298,200,19,194,175,0.8269121303912134,0.7334956997929536,0.592362981749778,-0.5664381619801193,3,0.592362981749778
usdsek,943,565,378,37,116,100,0.8244049153542873,0.2803013670216994,0.11651135602710605,-0.08230455624105838,5,0.11651135602710605
excususd,1112,667,445,4,170,124,0.8185338058507418,0.5583514914135381,0.18247272908383816,-0.14617445668353682,6,0.18247272908383816
maerskbdkdkk,656,393,263,4,134,157,0.814483250026493,0.8014396773443075,0.4585080505883472,-0.3330310494373999,5,0.4585080505883472
mhkususd,966,579,387,4,188,106,0.8074310383377944,0.5859650692683047,0.2222904662651224,-0.17789416313421033,6,0.2222904662651224
masiususd,539,323,216,31,134,112,0.8062415168950362,0.3707720428515402,0.27896402395389863,-0.34002233949526756,4,0.27896402395389885
ukgilttrgbp,993,595,398,34,110,103,0.8061369316450072,0.11356320334805825,0.04661058356428094,-0.06172883994464944,5,0.04661058356428094
alxnususd,786,471,315,28,149,112,0.803887043328269,0.39715773259369747,0.1959442507025413,-0.23309231490917337,4,0.1959442507025413
matusd,613,367,246,4,185,160,0.800314474402173,0.8099287322563904,0.5028750178539458,-0.546206896551724,5,0.5028750178539458
phianleur,776,465,311,4,170,172,0.7941953878410168,0.3238834933788852,0.1642190801900727,-0.16265708537984605,4,0.1642190801900727
ucbbeeur,814,488,326,13,116,100,0.7850487295733296,0.46104054028182606,0.21627145635986844,-0.3696472261460646,4,0.21627145635986844
sgdjpy,1802,1081,721,4,83,166,0.7715380837327056,0.2272328131317014,0.04889116879369859,-0.05972749702172814,17,0.04889116879369859
rrcususd,1237,742,495,13,116,187,0.7714727396410168,2.8350931079410655,0.5785688090919858,-0.35725711848139086,6,0.5785688090919858
hpqususd,815,489,326,4,116,100,0.7700254761002929,1.0205361547913858,0.43687299940306734,-0.167777935212205,7,0.43687299940306734
eogususd,925,555,370,4,89,133,0.7637883534226684,0.5687570484804514,0.22685391719132153,-0.1989056125414312,9,0.22685391719132153
glwususd,814,488,326,28,83,130,0.7507485751884605,0.3586763778017692,0.17149446843695504,-0.15947624544554762,4,0.17149446843695504
bdevgbgbx,753,451,302,7,101,100,0.7465736433275354,0.399270272569368,0.20649002729798638,-0.235762452076618,7,0.20649002729798638
adskususd,774,464,310,4,107,100,0.7443500201911875,0.6938607320059167,0.3313868653441878,-0.3271660141951656,11,0.3313868653441878
pbrususd,404,242,162,37,197,133,0.7336790389379865,0.5279091375380498,0.554908594445815,-0.5631464206510747,3,0.554908594445815
pncususd,588,352,236,4,140,100,0.7332174860060432,0.29770441323916974,0.2051013442965821,-0.20153174194772264,4,0.2051013442965821
tategbgbx,1446,867,579,7,107,103,0.7284841582166329,0.4926144408937263,0.12346403831869268,-0.16606617101865384,11,0.12346403831869268
lwususd,605,363,242,34,119,118,0.7218948595116876,0.47385519396243314,0.3090126376120639,-0.29233706026724837,3,0.3090126376120639
jllususd,483,289,194,25,104,103,0.7210833665156073,0.07208032694082367,0.06256961331241517,-0.06217059331442217,5,0.06256961331241517
caciususd,615,369,246,34,116,124,0.7204737779979452,0.6490699665569435,0.4072083311348109,-0.30447392027590825,3,0.4072083311348109
aepususd,1449,869,580,37,194,181,0.7130749528479454,0.2723579189273988,0.07234737342644348,-0.10234820671576812,7,0.07234737342644348
yfiusd,1593,955,638,4,101,100,0.7117288017140371,2.14475638447255,0.35300825383590406,-0.44273538057251477,15,0.35300825383590406
gbridxgbp,876,525,351,10,197,118,0.7077427518434357,0.1343944406544748,0.062396822136632,-0.09166164560674046,6,0.062396822136632
